IS_match	flags	MANUAL_match	query_string	LH_match
oral	IS		OTH-ORAL FLUID	
BAL	IS		BAL	
bronchoalveolar	IS		bronchoalveolar lavage fluid	
bronchoalveolar	IS		bronchoalveolar lavage	
CLO	IS		CLO	
			Pungse	
CCT	IS		CCT	
CLO	LH/IS		cloacal swab_ECE1	ece
clinical	LH/IS		clinical samples; passaged once (P1) in PMK culture cells	cell
brain	LH/IS		Brain Allantoid fluid from SPF embryo chicken	spf
CLO	LH/IS		cloacal swab_ECE2	ece
FEC	LH/IS		feces;SPF ECE	ece
FEC	LH/IS		wild bird feces;SPF ECE	ece
swab	LH/IS		Egg isolates Swab	egg
pharyngeal	IS		oropharyngeal swab pool; EP1	
			DMEM	
			OTH-DMEM	
EBLO	IS		EBLO	
ETTA	IS		ETTA	
FEC	IS		FEC	
clinical	IS		great crested grebe (Podiceps cristatus) without clinical signs of influenza	
			Swine	
FEC	LH/IS		infected MDCK cell lysate	cell
			Broiler	
			commercial poultry	
kidney	LH/IS		Madin Darby Canine Kidney Cell Line	cell
	LH		Egg P1	egg
	LH		embryonated chicken eggs	egg
	LH		MDCK culture	mdck
	LH		MDCK cells	cell
	LH		MDCK Cell isolate	cell
	LH		MDCK	mdck
	LH		first passage allantoic fluid	passage
	LH		passage 4 in MDCK cell	cell
	LH		passage 3 in MDCK cell	cell
	LH		passage 2 in MDCK cell	cell
	LH		Egg Passage	egg
	LH		passage 1 in MDCK cell	cell
lung	MANUAL	mouse	mouse lung	
BAL	MANUAL	Mus musculus	Mus musculus (Balb/c); MDCK cells	cell
lung	LH/IS		nasal swab/lung/salvia.    15 APR 2024	NA
			female, blood fed, collected in golf course habitat	
			female, blood fed, collected in marsh / wildlife refuge / park habitat	
			unknown sex, unfed, collected in residential habitat	
NAS	LH/IS		nasal swab	NA
NP	IS		NPOP	
NP	IS		NPH	
NAS	LH/IS		NAS	NA
ns	IS		nssw	
ns	IS		isolate, nssw	
ns	IS		NSSW	
FEC	IS		influenza infected host with respiratory disease	
FEC	IS		experimentally infected horse	
			host	
ns	IS		TS/NS	
NW	IS		NW	
NP	IS		NP Wash	
NP	IS		NP wash	
NP	IS		NP	
NP	IS		NPA	
NP	IS		NPS	
NP	IS		NP_WASH_ASP	
ORP	IS		ORP	
cultured isolate	IS		cultured isolate	
			Gallus gallus	
			allantoic fluid	
			duck	
			Allantoic fluid	
market	LH/IS		live bird market	RD
			Allantoic Fluid	
FEC	IS		experimentally infected host	
			alantoic fluid	
market	IS		poultry market	
	LH		allantoic fluid from 9 day-old embryonated chicken eggs	egg
	LH		allantoic fluid from embryonated chicken eggs	egg
			amnio-allantoic fluid; unknown EP	
market	IS		live poultry market	
lung	IS		allantoic fluid, pool lung-trachea	
OF	LH/IS		allantoic fluid lysate of embryonated egg	egg
TCF	IS		TCF	
TRAC	IS		TRAC	
swab	IS		Swab, Tracheal	
TRS	IS		TRS	
faces	LH/IS		wild bird faces	RD
	LH		The raw poultry products illegally imported to Japan by international flight passengers	NA
environment sample	IS		environment sample	
aerosol	IS		aerosol	
air	IS		air	
air	IS		air sample	
air	IS		air in a student health center clinic	
FEC	IS		infected allantoic fluid	
aspirates	IS		respiratory aspirates	
			pigs have been H1N1 viruses	
brain	IS		brain	
bronchiole	IS		bronchiole-explant	
cage	IS		poultry cage	
carcass	IS		carcass	
lung	LH/IS		human lung epithelial carcinoma cells A549	a549
clinical	IS		clinical_sample	
clinical	IS		clinical sample	
clinical	IS		clinical specimen	
CLO	IS		cloaca	
CLO	IS		Cloacal	
CLO	IS		cloacal	
CLO	IS		Pool of tracheal and cloacal samples	
CLO	IS		Combined cloacal and oral-pharyngeal viral isolate	
CLO	IS		Combined cloacal and tracheal	
Door handle	IS		Door handle	
feather	IS		Feather	
FEC	IS		fecal samples	
FEC	IS		fecal	
FEC	IS		fecal sample	
FEC	IS		Fecal matter	
FEC	IS		chicken fecal	
FEC	LH/IS		fresh fecal sample found amongst mallard population	RD
FEC	IS		duck fecal	
FEC	IS		fecal sample from wild waterfowl	
FEC	IS		chicken fecals	
FEC	IS		duck fecals	
FEC	IS		fecal droppings	
FEC	LH/IS		fecal specimen of wild waterbird	RD
FEC	LH/IS		wild bird fecals	RD
FEC	IS		turtledove fecals	
FEC	LH/IS		feces	ece
FEC	LH/IS		wild bird feces	ece
