Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Gender,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"1003835.1066","Severe fever with thrombocytopenia syndrome virus SFTSV:YBHC-TICK2-2017/CHINA",,1003835,"10239;2559587;2732396;2497569;2497571;2497576;1980410;1980418;2733256;2748958;1003835","Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Phenuiviridae;Bandavirus;Dabie bandavirus;Severe fever with thrombocytopenia syndrome virus","Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Phenuiviridae","Bandavirus","Dabie bandavirus","Complete","SFTSV:YBHC-TICK2-2017/CHINA",,,,,"S",,,,,,,,,,,,,,,,"2018-10-22T00:00:00Z",,,,,,,"MH177014",,,"Sanger dideoxy sequencing",,,,,1,1746,49.026344,1,1746,,,,,,,,,,"Tick grinding fluid: Animal body surface unfeeded",,"2017-05-05",2017,,"China","Asia","China: Hunchun, Yanbian, Jilin",,"Vero-E6","Lab host",,,,"Lab","Vero-E6",,,,,"2021-01-23T20:05:54.138Z","2021-01-23T20:05:54.138Z"
"1003835.281","Severe fever with thrombocytopenia syndrome virus HLP23_VE6",,1003835,"10239;2559587;2732396;2497569;2497571;2497576;1980410;1980418;2733256;2748958;1003835","Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Phenuiviridae;Bandavirus;Dabie bandavirus;Severe fever with thrombocytopenia syndrome virus","Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Phenuiviridae","Bandavirus","Dabie bandavirus","Complete","HLP23_VE6",,,,,"L",,,,,,,,,,,,,,,,"2020-09-13T00:00:00Z","32872451",,,,,,"MN450761",,,"Illumina",,"Bowtie2 v. 2.2; Samtools v. 0.20.4",,,1,6368,48.398243,1,6368,,,,,,,,,,,,"2017",2017,,"South Korea","Asia","South Korea",,"Vero e6","Lab host",,,,"Lab","Vero E6",,,,,"2021-01-23T16:51:17.611Z","2021-01-23T16:51:17.611Z"
"1003835.284","Severe fever with thrombocytopenia syndrome virus HLP23_VE6",,1003835,"10239;2559587;2732396;2497569;2497571;2497576;1980410;1980418;2733256;2748958;1003835","Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Phenuiviridae;Bandavirus;Dabie bandavirus;Severe fever with thrombocytopenia syndrome virus","Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Phenuiviridae","Bandavirus","Dabie bandavirus","Complete","HLP23_VE6",,,,,"M",,,,,,,,,,,,,,,,"2020-09-13T00:00:00Z","32872451",,,,,,"MN450762",,,"Illumina",,"Bowtie2 v. 2.2; Samtools v. 0.20.4",,,1,3378,49.02309,1,3378,,,,,,,,,,,,"2017",2017,,"South Korea","Asia","South Korea",,"Vero e6","Lab host",,,,"Lab","Vero E6",,,,,"2021-01-23T16:51:18.589Z","2021-01-23T16:51:18.589Z"
"1003835.286","Severe fever with thrombocytopenia syndrome virus HLP23_VE6",,1003835,"10239;2559587;2732396;2497569;2497571;2497576;1980410;1980418;2733256;2748958;1003835","Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Phenuiviridae;Bandavirus;Dabie bandavirus;Severe fever with thrombocytopenia syndrome virus","Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Phenuiviridae","Bandavirus","Dabie bandavirus","Complete","HLP23_VE6",,,,,"S",,,,,,,,,,,,,,,,"2020-09-13T00:00:00Z","32872451",,,,,,"MN450763",,,"Illumina",,"Bowtie2 v. 2.2; Samtools v. 0.20.4",,,1,1746,49.08362,1,1746,,,,,,,,,,,,"2017",2017,,"South Korea","Asia","South Korea",,"Vero e6","Lab host",,,,"Lab","Vero E6",,,,,"2021-01-23T16:53:20.009Z","2021-01-23T16:53:20.009Z"
"1003835.921","Severe fever with thrombocytopenia syndrome virus YBHC-TICK2-2017/CHINA",,1003835,"10239;2559587;2732396;2497569;2497571;2497576;1980410;1980418;2733256;2748958;1003835","Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Phenuiviridae;Bandavirus;Dabie bandavirus;Severe fever with thrombocytopenia syndrome virus","Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Phenuiviridae","Bandavirus","Dabie bandavirus","Complete","YBHC-TICK2-2017/CHINA",,,,,"L",,,,,,,,,,,,,,,,"2018-10-22T00:00:00Z",,,,,,,"MH049431",,,"Sanger dideoxy sequencing",,,,,1,6372,48.132454,1,6372,,,,,,,,,,"Tick grinding fluid: Animal body surface,from cow",,"2017-05-05",2017,,"China","Asia","China: HunChun, YanBian, JiLin",,"Vero-E6","Lab host",,,,"Lab","Vero-E6",,,,,"2021-01-23T19:17:19.486Z","2021-01-23T19:17:19.486Z"
"10244.1861","Monkeypox virus 2095",,10244,"10239;2732004;2732005;2732007;2732525;2732527;10240;10241;10242;10244","Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae;Chordopoxvirinae;Orthopoxvirus;Monkeypox virus","Viruses","Bamfordvirae","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Orthopoxvirus","Monkeypox virus","Partial","2095",,,,,,,,,,,,,,,,,,,,,"2022-07-06T00:00:00Z",,,,,,,"OL504742",,,"Illumina",,"bwa v. 0.7.17",,,1,186995,32.85498,1,186995,,,,182,,,,,,,,"Dec-2019",2019,,"United Kingdom","Europe","United Kingdom",,"Vero e6","Lab host",,,,"Lab",,,,,,"2022-08-19T22:51:22.472Z","2022-08-19T22:51:22.472Z"
"10244.1869","Monkeypox virus 2102",,10244,"10239;2732004;2732005;2732007;2732525;2732527;10240;10241;10242;10244","Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae;Chordopoxvirinae;Orthopoxvirus;Monkeypox virus","Viruses","Bamfordvirae","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Orthopoxvirus","Monkeypox virus","Partial","2102",,,,,,,,,,,,,,,,,,,,,"2022-07-06T00:00:00Z",,,,,,,"OL504743",,,"Illumina",,"bwa v. 0.7.17",,,1,187077,32.850193,1,187077,,,,173,,,,,,,,"Dec-2019",2019,,"United Kingdom","Europe","United Kingdom",,"Vero e6","Lab host",,,,"Lab",,,,,,"2022-08-19T22:51:23.006Z","2022-08-19T22:51:23.006Z"
"10244.1870","Monkeypox virus 2091",,10244,"10239;2732004;2732005;2732007;2732525;2732527;10240;10241;10242;10244","Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae;Chordopoxvirinae;Orthopoxvirus;Monkeypox virus","Viruses","Bamfordvirae","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Orthopoxvirus","Monkeypox virus","Partial","2091",,,,,,,,,,,,,,,,,,,,,"2022-07-06T00:00:00Z",,,,,,,"OL504741",,,"Illumina",,"bwa v. 0.7.17",,,1,186582,32.857197,1,186582,,,,173,,,,,,,,"Dec-2019",2019,,"United Kingdom","Europe","United Kingdom",,"Vero e6","Lab host",,,,"Lab",,,,,,"2022-08-19T22:56:23.693Z","2022-08-19T22:56:23.693Z"
"10276.27","Swinepox virus VTCC/AVA/121",,10276,"10239;2732004;2732005;2732007;2732525;2732527;10240;10241;10275;10276","Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae;Chordopoxvirinae;Suipoxvirus;Swinepox virus","Viruses","Bamfordvirae","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Suipoxvirus","Swinepox virus","Partial","VTCC/AVA/121",,,,,,,,,,,,,,,,,,,,,"2015-09-27T00:00:00Z",,,,,,,"KR028365",,,"Sanger dideoxy sequencing",,,,,1,513,25.730993,1,513,,,,1,,,,,,"scab material",,"2013-09-21",2013,,"India","Asia","India: Rhotak, Haryana",,"porcine kidney-15",,,,,,"porcine kidney-15",,,,,"2021-01-17T22:54:26.950Z","2021-01-17T22:54:26.950Z"
"10276.29","Swinepox virus VTCC/AVA/121",,10276,"10239;2732004;2732005;2732007;2732525;2732527;10240;10241;10275;10276","Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae;Chordopoxvirinae;Suipoxvirus;Swinepox virus","Viruses","Bamfordvirae","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Suipoxvirus","Swinepox virus","Partial","VTCC/AVA/121",,,,,,,,,,,,,,,,,,,,,"2015-09-27T00:00:00Z",,,,,,,"KR028366",,,"Sanger dideoxy sequencing",,,,,1,1725,28.985508,1,1725,,,,1,,,,,,"scab material",,"2013-09-21",2013,,"India","Asia","India: Rhotak, Haryana",,"porcine kidney-15",,,,,,"porcine kidney-15",,,,,"2021-01-17T22:56:27.481Z","2021-01-17T22:56:27.481Z"
